ArrayID	FileName	Group
AD1	GSM734833_PA41992_-_AD1.gpr	AD
AD2	GSM734834_PA41994_-_AD2.gpr	AD
AD3	GSM734835_PA42006_-_AD3.gpr	AD
AD4	GSM734836_PA42005_-_AD4.gpr	AD
AD5	GSM734837_PA41957_-_AD5.gpr	AD
AD6	GSM734838_PA41959_-_AD6.gpr	AD
AD7	GSM734839_PA42122_-_AD7.gpr	AD
AD8	GSM734840_PA42119_-_AD8.gpr	AD
AD9	GSM734841_PA41995_-_AD9.gpr	AD
AD10	GSM734842_PA41999_-_AD10.gpr	AD
AD11	GSM734843_PA42002_-_AD11.gpr	AD
AD12	GSM734844_PA42004_-_AD12.gpr	AD
AD13	GSM734845_PA42308_-_AD13.gpr	AD
AD14	GSM734846_PA42312_-_AD14.gpr	AD
AD15	GSM734847_PA42313_-_AD15.gpr	AD
AD16	GSM734848_PA42314_-_AD16.gpr	AD
AD17	GSM734849_PA25363_-_AD17.gpr	AD
AD40	GSM734850_PA25308_-_AD40.gpr	AD
AD50	GSM734851_PA25310_-_AD50.gpr	AD
AD53	GSM734852_PA25311_-_AD53.gpr	AD
AD54	GSM734853_PA25312_-_AD54.gpr	AD
AD18	GSM734854_PA25365_-_AD18.gpr	AD
AD19	GSM734855_PA25332_-_AD19.gpr	AD
AD20	GSM734856_PA25334_-_AD20.gpr	AD
AD21	GSM734857_PA25335_-_AD21.gpr	AD
AD22	GSM734858_PA25477_-_AD22.gpr	AD
AD23	GSM734859_PA25476_-_AD23.gpr	AD
AD24	GSM734860_PA25475_-_AD24.gpr	AD
AD25	GSM734861_PA25474_-_AD25.gpr	AD
AD26	GSM734862_PA25338_-_AD26.gpr	AD
AD27	GSM734863_PA25427_-_AD27.gpr	AD
AD28	GSM734864_PA25307_-_AD28.gpr	AD
AD29	GSM734865_PA25368_-_AD29.gpr	AD
AD30	GSM734866_PA25371_-_AD30.gpr	AD
AD31	GSM734867_PA25358_-_AD31.gpr	AD
AD32	GSM734868_PA25339_-_AD32.gpr	AD
AD33	GSM734869_PA25360_-_AD33.gpr	AD
AD34	GSM734870_PA42129_-_AD34.gpr	AD
AD35	GSM734871_PA25336_-_AD35.gpr	AD
AD36	GSM734872_PA25340_-_AD36.gpr	AD
AD37	GSM734873_PA25306_-_AD37.gpr	AD
AD38	GSM734874_PA25341_-_AD38.gpr	AD
AD39	GSM734875_PA42127_-_AD39.gpr	AD
AD45	GSM734876_PA42126_-_AD45.gpr	AD
AD46	GSM734877_PA25429_-_AD46.gpr	AD
AD47	GSM734878_PA42125_-_AD47.gpr	AD
AD48	GSM734879_PA25361_-_AD48.gpr	AD
AD49	GSM734880_PA25430_-_AD49.gpr	AD
AD51	GSM734881_PA25362_-_AD51.gpr	AD
AD52	GSM734882_PA25428_-_AD52.gpr	AD
NDC5	GSM735197_PA41965_-_CY5.gpr	NDC
NDC6	GSM735198_PA41978_-_CY6.gpr	NDC
NDC1	GSM735199_PA41981_-_CY1.gpr	NDC
NDC2	GSM735200_PA41989_-_CY2.gpr	NDC
NDC3	GSM735201_PA42008_-_CY3.gpr	NDC
NDC4	GSM735202_PA42017_-_CY4.gpr	NDC
NDC13	GSM735203_PA42023_-_CO13.gpr	NDC
NDC14	GSM735204_PA42025_-_CO14.gpr	NDC
NDC15	GSM735205_PA42026_-_CO15.gpr	NDC
NDC16	GSM735206_PA42028_-_CO16.gpr	NDC
NDC17	GSM735207_PA42029_-_CO17.gpr	NDC
NDC18	GSM735208_PA42039_-_CO18.gpr	NDC
NDC19	GSM735209_PA42040_-_CO19.gpr	NDC
NDC20	GSM735210_PA42047_-_CO20.gpr	NDC
NDC9	GSM735211_PA42083_-_CO9.gpr	NDC
NDC10	GSM735212_PA42084_-_CO10.gpr	NDC
NDC11	GSM735213_PA42085_-_CO11.gpr	NDC
NDC12	GSM735214_PA42086_-_CO12.gpr	NDC
NDC17	GSM735215_PA42087_-_CY17.gpr	NDC
NDC18	GSM735216_PA42096_-_CY18.gpr	NDC
NDC19	GSM735217_PA42099_-_CY19.gpr	NDC
NDC20	GSM735218_PA42100_-_CY20.gpr	NDC
NDC7	GSM735219_PA42121_-_CY7.gpr	NDC
NDC8	GSM735220_PA42123_-_CY8.gpr	NDC
NDC14	GSM735221_PA42276_-_CY14.gpr	NDC
NDC5	GSM735222_PA42269_-_CO5.gpr	NDC
NDC6	GSM735223_PA42271_-_CO6.gpr	NDC
NDC7	GSM735224_PA42272_-_CO7.gpr	NDC
NDC8	GSM735225_PA42274_-_CO8.gpr	NDC
NDC13	GSM735226_PA42275_-_CY13.gpr	NDC
NDC15	GSM735227_PA42277_-_CY15.gpr	NDC
NDC16	GSM735228_PA42278_-_CY16.gpr	NDC
NDC1	GSM735229_PA42294_-_CO1.gpr	NDC
NDC2	GSM735230_PA42295_-_CO2.gpr	NDC
NDC3	GSM735231_PA42296_-_CO3.gpr	NDC
NDC4	GSM735232_PA42298_-_CO4.gpr	NDC
NDC9	GSM735233_PA42300_-_CY9.gpr	NDC
NDC10	GSM735234_PA42301_-_CY10.gpr	NDC
NDC11	GSM735235_PA42306_-_CY11.gpr	NDC
NDC12	GSM735236_PA42307-_CY12.gpr	NDC
